ID,Hex,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
7150700,6D1C6C,Sacred Grossmesser,神聖なグロスメッサ―,神圣巨型刀,Священний грос-месер,,Священный гросс-мессер,,
7150800,6D1CD0,Magic Grossmesser,魔力のグロスメッサ―,魔力巨型刀,Магічний грос-месер,,Зачарованный гросс-мессер,,
7150900,6D1D34,Cold Grossmesser,冷たいグロスメッサ―,寒冷巨型刀,Морозний грос-месер,,Морозный гросс-мессер,,
7151000,6D1D98,Poison Grossmesser,毒のグロスメッサ―,毒巨型刀,Отруйний грос-месер,,Отравленный гросс-мессер,,
7151100,6D1DFC,Blood Grossmesser,血のグロスメッサ―,血巨型刀,Кривавий грос-месер,,Кровавый гросс-мессер,,
7151200,6D1E60,Occult Grossmesser,神秘のグロスメッサ―,神秘巨型刀,Окультний грос-месер,,Оккультный гросс-мессер,,
8010000,7A3910,Onyx Lord's Greatsword,黒王の大剣,黑王大剑,Великий меч оніксового володаря,,Двуручник ониксового повелителя,,
8020000,7A6020,Dismounter,斬馬刀,骑兵马刀,Спішувач,,Сбиватель,,
8020100,7A6084,Heavy Dismounter,重厚な斬馬刀,厚重骑兵马刀,Важкий спішувач,,Тяжёлый сбиватель,,
8020200,7A60E8,Keen Dismounter,鋭利な斬馬刀,锋利骑兵马刀,Стрімкий спішувач,,Острый сбиватель,,
8020300,7A614C,Quality Dismounter,上質な斬馬刀,优质骑兵马刀,Якісний спішувач,,Качественный сбиватель,,
8020400,7A61B0,Fire Dismounter,炎の斬馬刀,火焰骑兵马刀,Вогняний спішувач,,Огненный сбиватель,,
8020500,7A6214,Flame Art Dismounter,炎術の斬馬刀,焰术骑兵马刀,Полум'яний спішувач,,Пылающий сбиватель,,
8020600,7A6278,Lightning Dismounter,雷の斬馬刀,雷电骑兵马刀,Блискавковий спішувач,,Громовой сбиватель,,
8020700,7A62DC,Sacred Dismounter,神聖な斬馬刀,神圣骑兵马刀,Священний спішувач,,Священный сбиватель,,
8020800,7A6340,Magic Dismounter,魔力の斬馬刀,魔力骑兵马刀,Магічний спішувач,,Зачарованный сбиватель,,
8020900,7A63A4,Cold Dismounter,冷たい斬馬刀,寒冷骑兵马刀,Морозний спішувач,,Морозный сбиватель,,
8021000,7A6408,Poison Dismounter,毒の斬馬刀,毒骑兵马刀,Отруйний спішувач,,Отравленный сбиватель,,
8021100,7A646C,Blood Dismounter,血の斬馬刀,血骑兵马刀,Кривавий спішувач,,Кровавый сбиватель,,
8021200,7A64D0,Occult Dismounter,神秘の斬馬刀,神秘骑兵马刀,Окультний спішувач,,Оккультный сбиватель,,
8030000,7A8730,Bloodhound's Fang,猟犬の長牙,猎犬长牙,Ікло гончака,,Клык ищейки,,
8030100,7A8794,Bloodhound's Heavy Fang,,,,,,,
8030200,7A87F8,Bloodhound's Keen Fang,,,,,,,
8030300,7A885C,Bloodhound's Quality Fang,,,,,,,
8030400,7A88C0,Bloodhound's Fire Fang,,,,,,,
8030500,7A8924,Bloodhound's Flame Art Fang,,,,,,,
8030600,7A8988,Bloodhound's Lightning Fang,,,,,,,
8030700,7A89EC,Bloodhound's Sacred Fang,,,,,,,
8030800,7A8A50,Bloodhound's Magic Fang,,,,,,,
8030900,7A8AB4,Bloodhound's Cold Fang,,,,,,,
8031000,7A8B18,Bloodhound's Poison Fang,,,,,,,
8031100,7A8B7C,Bloodhound's Blood Fang,,,,,,,
8031200,7A8BE0,Bloodhound's Occult Fang,,,,,,,
8040000,7AAE40,Magma Wyrm's Scalesword,土竜の鱗剣,土龙鳞剑,Лускатий меч магмового змія,,Чешуйчатый меч магмового змея,,
8050000,7AD550,Zamor Curved Sword,ザミェルの湾刀,萨米尔弯刀,Вигнутий меч із Замора,,Изогнутый меч Замора,,
8060000,7AFC60,Omen Cleaver,忌み子の大刀,恶兆之子大刀,Тесак передвісника,,Тесак знамения,,
8060100,7AFCC4,Heavy Omen Cleaver,重厚な忌み子大刀,厚重恶兆之子大刀,Важкий тесак передвісника,,Тяжёлый тесак знамения,,
8060200,7AFD28,Keen Omen Cleaver,鋭利な忌み子大刀,锋利恶兆之子大刀,Стрімкий тесак передвісника,,Острый тесак знамения,,
8060300,7AFD8C,Quality Omen Cleaver,上質な忌み子大刀,优质恶兆之子大刀,Якісний тесак передвісника,,Качественный тесак знамения,,
8060400,7AFDF0,Fire Omen Cleaver,炎の忌み子大刀,火焰恶兆之子大刀,Вогняний тесак передвісника,,Огненный тесак знамения,,
8060500,7AFE54,Flame Art Omen Cleaver,炎術の忌み子大刀,焰术恶兆之子大刀,Полум'яний тесак передвісника,,Пылающий тесак знамения,,
8060600,7AFEB8,Lightning Omen Cleaver,雷の忌み子大刀,雷电恶兆之子大刀,Блискавковий тесак передвісника,,Громовой тесак знамения,,
8060700,7AFF1C,Sacred Omen Cleaver,神聖な忌み子大刀,神圣恶兆之子大刀,Священний тесак передвісника,,Священный тесак знамения,,
8060800,7AFF80,Magic Omen Cleaver,魔力の忌み子大刀,魔力恶兆之子大刀,Магічний тесак передвісника,,Зачарованный тесак знамения,,
8060900,7AFFE4,Cold Omen Cleaver,冷たい忌み子大刀,寒冷恶兆之子大刀,Морозний тесак передвісника,,Морозный тесак знамения,,
8061000,7B0048,Poison Omen Cleaver,毒の忌み子大刀,毒恶兆之子大刀,Отруйний тесак передвісника,,Отравленный тесак знамения,,
8061100,7B00AC,Blood Omen Cleaver,血の忌み子大刀,血恶兆之子大刀,Кривавий тесак передвісника,,Кровавый тесак знамения,,
8061200,7B0110,Occult Omen Cleaver,神秘の忌み子大刀,神秘恶兆之子大刀,Окультний тесак передвісника,,Оккультный тесак знамения,,
8070000,7B2370,Monk's Flameblade,僧兵の炎姿刀,习武修士火纹刀,Вогнемеч монаха,,Горящая катана монаха,,
8070100,7B23D4,Monk's Heavy Flameblade,重厚な僧兵炎姿刀,厚重习武修士火纹刀,Важкий вогнемеч монаха,,Тяжёлая горящая катана монаха,,
8070200,7B2438,Monk's Keen Flameblade,鋭利な僧兵炎姿刀,锋利习武修士火纹刀,Стрімкий вогнемеч монаха,,Острая горящая катана монаха,,
8070300,7B249C,Monk's Quality Flameblade,上質な僧兵炎姿刀,优质习武修士火纹刀,Якісний вогнемеч монаха,,Качественная горящая катана монаха,,
8070400,7B2500,Monk's Fire Flameblade,炎の僧兵炎姿刀,火焰习武修士火纹刀,Вогняний вогнемеч монаха,,Огненная горящая катана монаха,,
8070500,7B2564,Monk's Flame Art Flameblade,炎術の僧兵炎姿刀,焰术习武修士火纹刀,Полум'яний вогнемеч монаха,,Пылающая горящая катана монаха,,
8070600,7B25C8,Monk's Lightning Flameblade,雷の僧兵炎姿刀,雷电习武修士火纹刀,Блискавковий вогнемеч монаха,,Громовая горящая катана монаха,,
8070700,7B262C,Monk's Sacred Flameblade,神聖な僧兵炎姿刀,神圣习武修士火纹刀,Священний вогнемеч монаха,,Священная горящая катана монаха,,
8070800,7B2690,Monk's Magic Flameblade,魔力の僧兵炎姿刀,魔力习武修士火纹刀,Магічний вогнемеч монаха,,Зачарованная горящая катана монаха,,
8070900,7B26F4,Monk's Cold Flameblade,冷たい僧兵炎姿刀,寒冷习武修士火纹刀,Морозний вогнемеч монаха,,Морозная горящая катана монаха,,
8071000,7B2758,Monk's Poison Flameblade,毒の僧兵炎姿刀,毒习武修士火纹刀,Отруйний вогнемеч монаха,,Отравленная горящая катана монаха,,
8071100,7B27BC,Monk's Blood Flameblade,血の僧兵炎姿刀,血习武修士火纹刀,Кривавий вогнемеч монаха,,Кровавая горящая катана монаха,,
8071200,7B2820,Monk's Occult Flameblade,神秘の僧兵炎姿刀,神秘习武修士火纹刀,Окультний вогнемеч монаха,,Оккультная горящая катана монаха,,
8080000,7B4A80,Beastman's Cleaver,獣人の大曲刀,兽人大弯刀,Тесак звіролюда,,Тесак зверочеловека,,
8080100,7B4AE4,Beastman's Heavy Cleaver,重厚な獣人大曲刀,厚重兽人大弯刀,Важкий тесак звіролюда,,Тяжёлый тесак зверочеловека,,
8080200,7B4B48,Beastman's Keen Cleaver,鋭利な獣人大曲刀,锋利兽人大弯刀,Стрімкий тесак звіролюда,,Острый тесак зверочеловека,,
8080300,7B4BAC,Beastman's Quality Cleaver,上質な獣人大曲刀,优质兽人大弯刀,Якісний тесак звіролюда,,Качественный тесак зверочеловека,,
8080400,7B4C10,Beastman's Fire Cleaver,炎の獣人大曲刀,火焰兽人大弯刀,Вогняний тесак звіролюда,,Огненный тесак зверочеловека,,
8080500,7B4C74,Beastman's Flame Art Cleaver,炎術の獣人大曲刀,焰术兽人大弯刀,Полум'яний тесак звіролюда,,Пылающий тесак зверочеловека,,
8080600,7B4CD8,Beastman's Lightning Cleaver,雷の獣人大曲刀,雷电兽人大弯刀,Блискавковий тесак звіролюда,,Громовой тесак зверочеловека,,
8080700,7B4D3C,Beastman's Sacred Cleaver,神聖な獣人大曲刀,神圣兽人大弯刀,Священний тесак звіролюда,,Священный тесак зверочеловека,,
8080800,7B4DA0,Beastman's Magic Cleaver,魔力の獣人大曲刀,魔力兽人大弯刀,Магічний тесак звіролюда,,Зачарованный тесак зверочеловека,,
8080900,7B4E04,Beastman's Cold Cleaver,冷たい獣人大曲刀,寒冷兽人大弯刀,Морозний тесак звіролюда,,Морозный тесак зверочеловека,,
8081000,7B4E68,Beastman's Poison Cleaver,毒の獣人大曲刀,毒兽人大弯刀,Отруйний тесак звіролюда,,Отравленный тесак зверочеловека,,
8081100,7B4ECC,Beastman's Blood Cleaver,血の獣人大曲刀,血兽人大弯刀,Кривавий тесак звіролюда,,Кровавый тесак зверочеловека,,
8081200,7B4F30,Beastman's Occult Cleaver,神秘の獣人大曲刀,神秘兽人大弯刀,Окультний тесак звіролюда,,Оккультный тесак зверочеловека,,
8100000,7B98A0,Morgott's Cursed Sword,モーゴットの呪剣,蒙葛特咒剑,Проклятий меч Морґотта,,Проклятый меч Морготта,,
8110000,7BBFB0,Holy Inferno Greatsword,,,,,,,
8110100,7BC014,Heavy Holy Inferno Greatsword,,,,,,,
8110200,7BC078,Keen Holy Inferno Greatsword,,,,,,,
8110300,7BC0DC,Quality Holy Inferno Greatsword,,,,,,,
8110400,7BC140,Fire Holy Inferno Greatsword,,,,,,,
8110500,7BC1A4,Flame Art Holy Inferno Greatsword,,,,,,,
8110600,7BC208,Lightning Holy Inferno Greatsword,,,,,,,
8110700,7BC26C,Sacred Holy Inferno Greatsword,,,,,,,
8110800,7BC2D0,Magic Holy Inferno Greatsword,,,,,,,
8110900,7BC334,Cold Holy Inferno Greatsword,,,,,,,
8111000,7BC398,Poison Holy Inferno Greatsword,,,,,,,
8111100,7BC3FC,Blood Holy Inferno Greatsword,,,,,,,
8111200,7BC460,Occult Holy Inferno Greatsword,,,,,,,
9000000,895440,Uchigatana,打刀,打刀,Учіґатана,,Утигатана,,
9000100,8954A4,Heavy Uchigatana,重厚な打刀,厚重打刀,Важка учіґатана,,Тяжёлая утигатана,,
9000200,895508,Keen Uchigatana,鋭利な打刀,锋利打刀,Стрімка учіґатана,,Острая утигатана,,
9000300,89556C,Quality Uchigatana,上質な打刀,优质打刀,Якісна учіґатана,,Качественная утигатана,,
9000400,8955D0,Fire Uchigatana,炎の打刀,火焰打刀,Вогняна учіґатана,,Огненная утигатана,,
9000500,895634,Flame Art Uchigatana,炎術の打刀,焰术打刀,Полум'яна учіґатана,,Пылающая утигатана,,
9000600,895698,Lightning Uchigatana,雷の打刀,雷电打刀,Блискавкова учіґатана,,Громовая утигатана,,
9000700,8956FC,Sacred Uchigatana,神聖な打刀,神圣打刀,Священна учіґатана,,Священная утигатана,,
9000800,895760,Magic Uchigatana,魔力の打刀,魔力打刀,Магічна учіґатана,,Зачарованная утигатана,,
9000900,8957C4,Cold Uchigatana,冷たい打刀,寒冷打刀,Морозна учіґатана,,Морозная утигатана,,
9001000,895828,Poison Uchigatana,毒の打刀,毒打刀,Отруйна учіґатана,,Отравленная утигатана,,
9001100,89588C,Blood Uchigatana,血の打刀,血打刀,Кривава учіґатана,,Кровавая утигатана,,
9001200,8958F0,Occult Uchigatana,神秘の打刀,神秘打刀,Окультна учіґатана,,Оккультная утигатана,,
9010000,897B50,Nagakiba,長牙,长牙,Наґакіба,,Длинный клык,,
9010100,897BB4,Heavy Nagakiba,重厚な長牙,厚重长牙,Важка наґакіба,,Тяжёлый длинный клык,,
9010200,897C18,Keen Nagakiba,鋭利な長牙,锋利长牙,Стрімка наґакіба,,Острый длинный клык,,
9010300,897C7C,Quality Nagakiba,上質な長牙,优质长牙,Якісна наґакіба,,Качественный длинный клык,,
9010400,897CE0,Fire Nagakiba,炎の長牙,火焰长牙,Вогняна наґакіба,,Огненный длинный клык,,
9010500,897D44,Flame Art Nagakiba,炎術の長牙,焰术长牙,Полум'яна наґакіба,,Пылающий длинный клык,,
9010600,897DA8,Lightning Nagakiba,雷の長牙,雷电长牙,Блискавкова наґакіба,,Громовой длинный клык,,
9010700,897E0C,Sacred Nagakiba,神聖な長牙,神圣长牙,Священна наґакіба,,Священный длинный клык,,
9010800,897E70,Magic Nagakiba,魔力の長牙,魔力长牙,Магічна наґакіба,,Зачарованный длинный клык,,
9010900,897ED4,Cold Nagakiba,冷たい長牙,寒冷长牙,Морозна наґакіба,,Морозный длинный клык,,
9011000,897F38,Poison Nagakiba,毒の長牙,毒长牙,Отруйна наґакіба,,Отравленный длинный клык,,
9011100,897F9C,Blood Nagakiba,血の長牙,血长牙,Кривава наґакіба,,Кровавый длинный клык,,
9011200,898000,Occult Nagakiba,神秘の長牙,神秘长牙,Окультна наґакіба,,Оккультный длинный клык,,
9020000,89A260,Hand of Malenia,マレニアの義手刀,玛莲妮亚的义手刀,Долоня Маленії,,Длань Малении,,
9030000,89C970,Meteoric Ore Blade,隕鉄の刀,铁陨石刀,Клинок з метеоритної руди,,Меч из метеоритной руды,,
9030100,89C9D4,Heavy Meteoric Ore Blade,,,,,,,
9030200,89CA38,Keen Meteoric Ore Blade,,,,,,,
9030300,89CA9C,Quality Meteoric Ore Blade,,,,,,,
9030400,89CB00,Fire Meteoric Ore Blade,,,,,,,
9030500,89CB64,Flame Art Meteoric Ore Blade,,,,,,,
9030600,89CBC8,Lightning Meteoric Ore Blade,,,,,,,
9030700,89CC2C,Sacred Meteoric Ore Blade,,,,,,,
9030800,89CC90,Magic Meteoric Ore Blade,,,,,,,
9030900,89CCF4,Cold Meteoric Ore Blade,,,,,,,
9031000,89CD58,Poison Meteoric Ore Blade,,,,,,,
9031100,89CDBC,Blood Meteoric Ore Blade,,,,,,,
9031200,89CE20,Occult Meteoric Ore Blade,,,,,,,
9040000,89F080,Rivers of Blood,屍山血河,尸山血海,Ріки крові,,Реки крови,,
9060000,8A3EA0,Moonveil,名刀月隠,名刀月隐,Місячна вуаль,,Лунная вуаль,,
9070000,8A65B0,Dragonscale Blade,竜鱗刀,龙鳞刀,Клинок з драконячої луски,,Меч из драконьей чешуи,,
9080000,8A8CC0,Serpentbone Blade,蛇骨の刀,蛇骨刀,Клинок зі зміїної кістки,,Змеевидная костяная катана,,
9080100,8A8D24,Heavy Serpentbone Blade,重厚な蛇骨刀,厚重蛇骨刀,[ERROR]Важкий клинок зі зміїної кістки,,Тяжёлая змеевидная костяная катана,,
9080200,8A8D88,Keen Serpentbone Blade,鋭利な蛇骨刀,锋利蛇骨刀,[ERROR]Стрімкий клинок зі зміїної кістки,,Острая змеевидная костяная катана,,
9080300,8A8DEC,Quality Serpentbone Blade,上質な蛇骨刀,优质蛇骨刀,[ERROR]Якісний клинок зі зміїної кістки,,Качеств. змеевидная костяная катана,,
9080400,8A8E50,Fire Serpentbone Blade,炎の蛇骨刀,火焰蛇骨刀,[ERROR]Вогняний клинок зі зміїної кістки,,Огненная змеевидная костяная катана,,
9080500,8A8EB4,Flame Art Serpentbone Blade,炎術の蛇骨刀,焰术蛇骨刀,[ERROR]Полум'яний клинок зі зміїної кістки,,Пылающая змеевидная костяная катана,,
9080600,8A8F18,Lightning Serpentbone Blade,雷の蛇骨刀,雷电蛇骨刀,[ERROR]Блискавковий клинок зі зміїної кістки,,Громовая змеевидная костяная катана,,
9080700,8A8F7C,Sacred Serpentbone Blade,神聖な蛇骨刀,神圣蛇骨刀,[ERROR]Священний клинок зі зміїної кістки,,Священная змеевидная костяная катана,,
9080800,8A8FE0,Magic Serpentbone Blade,魔力の蛇骨刀,魔力蛇骨刀,[ERROR]Магічний клинок зі зміїної кістки,,Зачаров. змеевидная костяная катана,,
9080900,8A9044,Cold Serpentbone Blade,冷たい蛇骨刀,寒冷蛇骨刀,[ERROR]Морозний клинок зі зміїної кістки,,Морозная змеевидная костяная катана,,
9081000,8A90A8,Poison Serpentbone Blade,毒の蛇骨刀,毒蛇骨刀,[ERROR]Отруйний клинок зі зміїної кістки,,Отравленная змеевидная костяная катана,,
9081100,8A910C,Blood Serpentbone Blade,血の蛇骨刀,血蛇骨刀,[ERROR]Кривавий клинок зі зміїної кістки,,Кровавая змеевидная костяная катана,,
9081200,8A9170,Occult Serpentbone Blade,神秘の蛇骨刀,神秘蛇骨刀,[ERROR]Окультний клинок зі зміїної кістки,,Оккультная змеевидная костяная катана,,
10000000,989680,Twinblade,ツインブレード,双头剑,Подвійний клинок,,Парный клинок,,
10000100,9896E4,Heavy Twinblade,重厚なツインブレード,厚重双头剑,Важкий подвійний клинок,,Тяжёлый парный клинок,,
10000200,989748,Keen Twinblade,鋭利なツインブレード,锋利双头剑,Стрімкий подвійний клинок,,Острый парный клинок,,
10000300,9897AC,Quality Twinblade,上質なツインブレード,优质双头剑,Якісний подвійний клинок,,Качественный парный клинок,,
10000400,989810,Fire Twinblade,炎のツインブレード,火焰双头剑,Вогняний подвійний клинок,,Огненный парный клинок,,
10000500,989874,Flame Art Twinblade,炎術のツインブレード,焰术双头剑,Полум'яний подвійний клинок,,Пылающий парный клинок,,
10000600,9898D8,Lightning Twinblade,雷のツインブレード,雷电双头剑,Блискавковий подвійний клинок,,Громовой парный клинок,,
10000700,98993C,Sacred Twinblade,神聖なツインブレード,神圣双头剑,Священний подвійний клинок,,Священный парный клинок,,
10000800,9899A0,Magic Twinblade,魔力のツインブレード,魔力双头剑,Магічний подвійний клинок,,Зачарованный парный клинок,,
10000900,989A04,Cold Twinblade,冷たいツインブレード,寒冷双头剑,Морозний подвійний клинок,,Морозный парный клинок,,
10001000,989A68,Poison Twinblade,毒のツインブレード,毒双头剑,Отруйний подвійний клинок,,Отравленный парный клинок,,
10001100,989ACC,Bloody Twinblade,血のツインブレード,血双头剑,Кривавий подвійний клинок,,Окровавленный парный клинок,,
10001200,989B30,Occult Twinblade,神秘のツインブレード,神秘双头剑,Окультний подвійний клинок,,Оккультный парный клинок,,
10010000,98BD90,Godskin Peeler,神肌剥ぎ,神皮剥制剑,Богошкірний здирач,,Свежеватель божественной кожи,,
10010100,98BDF4,Heavy Godskin Peeler,重厚な神肌剥ぎ,厚重神皮剥制剑,Важкий богошкірний здирач,,Тяжёлый свежеватель божественной кожи,,
10010200,98BE58,Keen Godskin Peeler,鋭利な神肌剥ぎ,锋利神皮剥制剑,Стрімкий богошкірний здирач,,Острый свежеватель божественной кожи,,
10010300,98BEBC,Quality Godskin Peeler,上質な神肌剥ぎ,优质神皮剥制剑,Якісний богошкірний здирач,,Качеств. свежеватель божественной кожи,,
10010400,98BF20,Fire Godskin Peeler,炎の神肌剥ぎ,火焰神皮剥制剑,Вогняний богошкірний здирач,,Огненный свежеватель божественной кожи,,
10010500,98BF84,Flame Art Godskin Peeler,炎術の神肌剥ぎ,焰术神皮剥制剑,Полум'яний богошкірний здирач,,Пылающий свежеватель божественной кожи,,
10010600,98BFE8,Lightning Godskin Peeler,雷の神肌剥ぎ,雷电神皮剥制剑,Блискавковий богошкірний здирач,,Громовой свежеватель божественной кожи,,
10010700,98C04C,Sacred Godskin Peeler,神聖な神肌剥ぎ,神圣神皮剥制剑,Священний богошкірний здирач,,Свящ. свежеватель божественной кожи,,
10010800,98C0B0,Magic Godskin Peeler,魔力の神肌剥ぎ,魔力神皮剥制剑,Магічний богошкірний здирач,,Зачар. свежеватель божественной кожи,,
10010900,98C114,Cold Godskin Peeler,冷たい神肌剥ぎ,寒冷神皮剥制剑,Морозний богошкірний здирач,,Морозный свежеватель божественной кожи,,
10011000,98C178,Poison Godskin Peeler,毒の神肌剥ぎ,毒神皮剥制剑,Отруйний богошкірний здирач,,Отравл. свежеватель божественной кожи,,
10011100,98C1DC,Blood Godskin Peeler,血の神肌剥ぎ,血神皮剥制剑,Кривавий богошкірний здирач,,Кровавый свежеватель божественной кожи,,
10011200,98C240,Occult Godskin Peeler,神秘の神肌剥ぎ,神秘神皮剥制剑,Окультний богошкірний здирач,,Оккульт. свежеватель божественной кожи,,
10030000,990BB0,Twinned Knight Swords,ツインナイトソード,骑士双头剑,Подвійні мечі лицаря,,Парные клинки рыцаря,,
10030100,990C14,Heavy Twinned Knight Swords,重厚なツインナイトソード,厚重骑士双头剑,Важкі подвійні мечі лицаря,,Тяжёлые парные клинки рыцаря,,
10030200,990C78,Keen Twinned Knight Swords,鋭利なツインナイトソード,锋利骑士双头剑,Стрімкі подвійні мечі лицаря,,Острые парные клинки рыцаря,,
10030300,990CDC,Quality Twinned Knight Swords,上質なツインナイトソード,优质骑士双头剑,Якісні подвійні мечі лицаря,,Качественные парные клинки рыцаря,,
10030400,990D40,Fire Twinned Knight Swords,炎のツインナイトソード,火焰骑士双头剑,Вогняні подвійні мечі лицаря,,Огненные парные клинки рыцаря,,
10030500,990DA4,Flame Art Twinned Knight Swords,炎術のツインナイトソード,焰术骑士双头剑,Полум'яні подвійні мечі лицаря,,Пылающие парные клинки рыцаря,,
10030600,990E08,Lightning Twinned Knight Swords,雷のツインナイトソード,雷电骑士双头剑,Блискавкові подвійні мечі лицаря,,Громовые парные клинки рыцаря,,
10030700,990E6C,Sacred Twinned Knight Swords,神聖なツインナイトソード,神圣骑士双头剑,Священні подвійні мечі лицаря,,Священные парные клинки рыцаря,,
10030800,990ED0,Magic Twinned Knight Swords,魔力のツインナイトソード,魔力骑士双头剑,Магічні подвійні мечі лицаря,,Зачарованные парные клинки рыцаря,,
10030900,990F34,Cold Twinned Knight Swords,冷たいツインナイトソード,寒冷骑士双头剑,Морозні подвійні мечі лицаря,,Морозные парные клинки рыцаря,,
10031000,990F98,Poison Twinned Knight Swords,毒のツインナイトソード,毒骑士双头剑,Отруйні подвійні мечі лицаря,,Отравленные парные клинки рыцаря,,
10031100,990FFC,Blood Twinned Knight Swords,血のツインナイトソード,血骑士双头剑,Криваві подвійні мечі лицаря,,Кровавые парные клинки рыцаря,,
10031200,991060,Occult Twinned Knight Swords,神秘のツインナイトソード,神秘骑士双头剑,Окультні подвійні мечі лицаря,,Оккультные парные клинки рыцаря,,
10050000,9959D0,Eleonora's Poleblade,エレオノーラの双薙刀,艾琉诺拉双头刀,Клинок Елеонори,,Нагината Элеоноры,,
10060000,9980E0,Abundance and Decay Twinblade,,,,,,,
10070000,99A7F0,Abundance Twinblade,,,,,,,
10080000,99CF00,Gargoyle's Twinblade,ガーゴイルの両刃剣,石像鬼双头剑,Подвійний клинок гаргульї,,Парный клинок горгульи,,
10080100,99CF64,Gargoyle's Heavy Twinblade,重厚なガーゴイル両刃剣,厚重石像鬼双头剑,Важкий подвійний клинок гаргульї,,Тяжёлый парный клинок горгульи,,
10080200,99CFC8,Gargoyle's Keen Twinblade,鋭利なガーゴイル両刃剣,锋利石像鬼双头剑,Стрімкий подвійний клинок гаргульї,,Острый парный клинок горгульи,,
10080300,99D02C,Gargoyle's Quality Twinblade,上質なガーゴイル両刃剣,优质石像鬼双头剑,Якісний подвійний клинок гаргульї,,Качественный парный клинок горгульи,,
10080400,99D090,Gargoyle's Fire Twinblade,炎のガーゴイル両刃剣,火焰石像鬼双头剑,Вогняний подвійний клинок гаргульї,,Огненный парный клинок горгульи,,
10080500,99D0F4,Gargoyle's Flame Art Twinblade,炎術のガーゴイル両刃剣,焰术石像鬼双头剑,Полум'яний подвійний клинок гаргульї,,Пылающий парный клинок горгульи,,
10080600,99D158,Gargoyle's Lightning Twinblade,雷のガーゴイル両刃剣,雷电石像鬼双头剑,Блискавковий подвійний клинок гаргульї,,Громовой парный клинок горгульи,,
10080700,99D1BC,Gargoyle's Sacred Twinblade,神聖なガーゴイル両刃剣,神圣石像鬼双头剑,Священний подвійний клинок гаргульї,,Священный парный клинок горгульи,,
10080800,99D220,Gargoyle's Magic Twinblade,魔力のガーゴイル両刃剣,魔力石像鬼双头剑,Магічний подвійний клинок гаргульї,,Зачарованный парный клинок горгульи,,
10080900,99D284,Gargoyle's Cold Twinblade,冷たいガーゴイル両刃剣,寒冷石像鬼双头剑,Морозний подвійний клинок гаргульї,,Морозный парный клинок горгульи,,
10081000,99D2E8,Gargoyle's Poison Twinblade,毒のガーゴイル両刃剣,毒石像鬼双头剑,Отруйний подвійний клинок гаргульї,,Отравленный парный клинок горгульи,,
10081100,99D34C,Gargoyle's Blood Twinblade,血のガーゴイル両刃剣,血石像鬼双头剑,Кривавий подвійний клинок гаргульї,,Кровавый парные клинки горгульи,,
10081200,99D3B0,Gargoyle's Occult Twinblade,神秘のガーゴイル両刃剣,神秘石像鬼双头剑,Окультний подвійний клинок гаргульї,,Оккультный парные клинки горгульи,,
10090000,99F610,Gargoyle's Black Blades,ガーゴイルの黒両刃,石像鬼黑双头剑,Чорні клинки гаргульї,,Чёрные клинки горгульи,,
10090100,99F674,Gargoyle's Heavy Black Blades,,,,,,,
10090200,99F6D8,Gargoyle's Keen Black Blades,,,,,,,
10090300,99F73C,Gargoyle's Quality Black Blades,,,,,,,
10090400,99F7A0,Gargoyle's Fire Black Blades,,,,,,,
10090500,99F804,Gargoyle's Flame Art Black Blades,,,,,,,
10090600,99F868,Gargoyle's Lightning Black Blades,,,,,,,
10090700,99F8CC,Gargoyle's Sacred Black Blades,,,,,,,
10090800,99F930,Gargoyle's Magic Black Blades,,,,,,,
10090900,99F994,Gargoyle's Cold Black Blades,,,,,,,
10091000,99F9F8,Gargoyle's Poison Black Blades,,,,,,,
10091100,99FA5C,Gargoyle's Blood Black Blades,,,,,,,
10091200,99FAC0,Gargoyle's Occult Black Blades,,,,,,,
11000000,A7D8C0,Mace,メイス,锤矛,Булава,,Булава,,
11000100,A7D924,Heavy Mace,重厚なメイス,厚重锤矛,Важка булава,,Тяжёлая булава,,
11000200,A7D988,Keen Mace,鋭利なメイス,锋利锤矛,Стрімка булава,,Острая булава,,
11000300,A7D9EC,Quality Mace,上質なメイス,优质锤矛,Якісна булава,,Качественная булава,,
11000400,A7DA50,Fire Mace,炎のメイス,火焰锤矛,Вогняна булава,,Огненная булава,,
11000500,A7DAB4,Flame Art Mace,炎術のメイス,焰术锤矛,Полум'яна булава,,Пылающая булава,,
11000600,A7DB18,Lightning Mace,雷のメイス,雷电锤矛,Блискавкова булава,,Громовая булава,,
11000700,A7DB7C,Sacred Mace,神聖なメイス,神圣锤矛,Священна булава,,Священная булава,,
11000800,A7DBE0,Magic Mace,魔力のメイス,魔力锤矛,Магічна булава,,Зачарованная булава,,
11000900,A7DC44,Cold Mace,冷たいメイス,寒冷锤矛,Морозна булава,,Морозная булава,,
11001000,A7DCA8,Poison Mace,毒のメイス,毒锤矛,Отруйна булава,,Отравленная булава,,
11001100,A7DD0C,Blood Mace,血のメイス,血锤矛,Кривава булава,,Кровавая булава,,
11001200,A7DD70,Occult Mace,神秘のメイス,神秘锤矛,Окультна булава,,Оккультная булава,,
11010000,A7FFD0,Club,クラブ,棍棒,Довбня,,Дубина,,
