ID,NAME,REGION,Name (українська-ukrainian),Регіон (українська-ukrainian),Cheat Engine Dropdown 1,Cheat Engine Dropdown 2,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
34102952,Divine Tower of Limgrave,Stormhill,Божественна вежа Замогилля,Штормовий пагорб,34102952:Divine Tower of Limgrave (Stormhill),34102952:Stormhill - Divine Tower of Limgrave,,,,,,,
34112950,Study Hall Entrance,Liurnia of the Lakes,Вхід до навчальної зали,Озерна Ліурнія,34112950:Study Hall Entrance (Liurnia of the Lakes),34112950:Liurnia of the Lakes - Study Hall Entrance,,,,,,,
34112951,Liurnia Tower Bridge,Liurnia of the Lakes,Міст до вежі Ліурнії,Озерна Ліурнія,34112951:Liurnia Tower Bridge (Liurnia of the Lakes),34112951:Liurnia of the Lakes - Liurnia Tower Bridge,,,,,,,
34112952,Divine Tower of Liurnia,Liurnia of the Lakes,Божественна вежа Ліурнії,Озерна Ліурнія,34112952:Divine Tower of Liurnia (Liurnia of the Lakes),34112952:Liurnia of the Lakes - Divine Tower of Liurnia,,,,,,,
34122950,Divine Tower of West Altus,Altus Plateau,Божественна вежа західного Альтуса,Плато Альтус,34122950:Divine Tower of West Altus (Altus Plateau),34122950:Altus Plateau - Divine Tower of West Altus,,,,,,,
34122951,Sealed Tunnel,"Leyndell, Royal Capital",Запечатаний тунель,Околиці столиці,"34122951:Sealed Tunnel (Leyndell, Royal Capital)","34122951:Leyndell, Royal Capital - Sealed Tunnel",,,,,,,
34122952,Divine Tower of West Altus: Gate,Altus Plateau,Божественна вежа західного Альтуса: ворота,Плато Альтус,34122952:Divine Tower of West Altus: Gate (Altus Plateau),34122952:Altus Plateau - Divine Tower of West Altus: Gate,,,,,,,
34132951,Divine Tower of Caelid: Basement,Greyoll's Dragonbarrow,Божественна вежа Кейліда: підвал,Драконячий курган Ґрейолли,34132951:Divine Tower of Caelid: Basement (Greyoll's Dragonbarrow),34132951:Greyoll's Dragonbarrow - Divine Tower of Caelid: Basement,,,,,,,
34132952,Divine Tower of Caelid: Center,Greyoll's Dragonbarrow,Божественна вежа Кейліда: центр,Драконячий курган Ґрейолли,34132952:Divine Tower of Caelid: Center (Greyoll's Dragonbarrow),34132952:Greyoll's Dragonbarrow - Divine Tower of Caelid: Center,,,,,,,
34142950,Divine Tower of the East Altus: Gate,Forbidden Lands,Божественна вежа східного Альтуса: ворота,Заборонені землі,34142950:Divine Tower of the East Altus: Gate (Forbidden Lands),34142950:Forbidden Lands - Divine Tower of the East Altus: Gate,,,,,,,
34142951,Divine Tower of the East Altus,Forbidden Lands,Божественна вежа східного Альтуса,Заборонені землі,34142951:Divine Tower of the East Altus (Forbidden Lands),34142951:Forbidden Lands - Divine Tower of the East Altus,,,,,,,
34152950,Isolated Divine Tower,Greyoll's Dragonbarrow,Ізольована божественна вежа,Драконячий курган Ґрейолли,34152950:Isolated Divine Tower (Greyoll's Dragonbarrow),34152950:Greyoll's Dragonbarrow - Isolated Divine Tower,,,,,,,
35002950,Cathedral of the Forsaken,Subterranean Shunning-Grounds,Собор покинутих,Покинуте підземелля,35002950:Cathedral of the Forsaken (Subterranean Shunning-Grounds),35002950:Subterranean Shunning-Grounds - Cathedral of the Forsaken,,,,,,,
35002951,Underground Roadside,Subterranean Shunning-Grounds,Підземне узбіччя,Покинуте підземелля,35002951:Underground Roadside (Subterranean Shunning-Grounds),35002951:Subterranean Shunning-Grounds - Underground Roadside,,,,,,,
35002952,Forsaken Depths,Subterranean Shunning-Grounds,Покинуті глибини,Покинуте підземелля,35002952:Forsaken Depths (Subterranean Shunning-Grounds),35002952:Subterranean Shunning-Grounds - Forsaken Depths,,,,,,,
35002953,Leyndell Catacombs,Subterranean Shunning-Grounds,Катакомби Лейнделла,Покинуте підземелля,35002953:Leyndell Catacombs (Subterranean Shunning-Grounds),35002953:Subterranean Shunning-Grounds - Leyndell Catacombs,,,,,,,
35002954,Frenzied Flame Proscription,Subterranean Shunning-Grounds,Проскрипція Полум'я несамовитості,Покинуте підземелля,35002954:Frenzied Flame Proscription (Subterranean Shunning-Grounds),35002954:Subterranean Shunning-Grounds - Frenzied Flame Proscription,,,,,,,
39202950,Magma Wyrm,Ruin-Strewn Precipice,Магмовий змій Макар,Усіяна руїнами прірва,39202950:Magma Wyrm (Ruin-Strewn Precipice),39202950:Ruin-Strewn Precipice - Magma Wyrm,,,,,,,
39202951,Ruin-Strewn Precipice,Ruin-Strewn Precipice,Усіяна руїнами прірва,Усіяна руїнами прірва,39202951:Ruin-Strewn Precipice (Ruin-Strewn Precipice),39202951:Ruin-Strewn Precipice - Ruin-Strewn Precipice,,,,,,,
39202952,Ruin-Strewn Precipice Overlook,Ruin-Strewn Precipice,Оглядове місце усіяної руїнами прірви,Усіяна руїнами прірва,39202952:Ruin-Strewn Precipice Overlook (Ruin-Strewn Precipice),39202952:Ruin-Strewn Precipice - Ruin-Strewn Precipice Overlook,,,,,,,
1033402950,Altar South,Moonlight Altar,Південний вівтар,Вівтар місячного сяйва,1033402950:Altar South (Moonlight Altar),1033402950:Moonlight Altar - Altar South,,,,,,,
1033442950,Revenger's Shack,Liurnia of the Lakes,Хатина месника,Озерна Ліурнія,1033442950:Revenger's Shack (Liurnia of the Lakes),1033442950:Liurnia of the Lakes - Revenger's Shack,,,,,,,
1033462950,Foot of the Four Belfries,Liurnia of the Lakes,Підніжжя чотирьох дзвіниць,Озерна Ліурнія,1033462950:Foot of the Four Belfries (Liurnia of the Lakes),1033462950:Liurnia of the Lakes - Foot of the Four Belfries,,,,,,,
1033472950,The Four Belfries,Liurnia of the Lakes,Чотири дзвіниці,Озерна Ліурнія,1033472950:The Four Belfries (Liurnia of the Lakes),1033472950:Liurnia of the Lakes - The Four Belfries,,,,,,,
1034412950,Moonlight Altar,Moonlight Altar,Вівтар місячного сяйва,Вівтар місячного сяйва,1034412950:Moonlight Altar (Moonlight Altar),1034412950:Moonlight Altar - Moonlight Altar,,,,,,,
1034422950,Village of the Albinaurics,Liurnia of the Lakes,Селище альбінорів,Озерна Ліурнія,1034422950:Village of the Albinaurics (Liurnia of the Lakes),1034422950:Liurnia of the Lakes - Village of the Albinaurics,,,,,,,
1034432950,Converted Tower,Liurnia of the Lakes,Переобладнана вежа,Озерна Ліурнія,1034432950:Converted Tower (Liurnia of the Lakes),1034432950:Liurnia of the Lakes - Converted Tower,,,,,,,
1034442950,Temple Quarter,Liurnia of the Lakes,Храмовий квартал,Озерна Ліурнія,1034442950:Temple Quarter (Liurnia of the Lakes),1034442950:Liurnia of the Lakes - Temple Quarter,,,,,,,
1034462950,Crystalline Woods,Liurnia of the Lakes,Кристалічний ліс,Озерна Ліурнія,1034462950:Crystalline Woods (Liurnia of the Lakes),1034462950:Liurnia of the Lakes - Crystalline Woods,,,,,,,
1034472951,Sorcerer's Isle,Liurnia of the Lakes,Острів чародія,Озерна Ліурнія,1034472951:Sorcerer's Isle (Liurnia of the Lakes),1034472951:Liurnia of the Lakes - Sorcerer's Isle,,,,,,,
1034482950,Northern Liurnia Lake Shore,Liurnia of the Lakes,Північний берег озера Ліурнії,Озерна Ліурнія,1034482950:Northern Liurnia Lake Shore (Liurnia of the Lakes),1034482950:Liurnia of the Lakes - Northern Liurnia Lake Shore,,,,,,,
1034492950,Road to the Manor,Liurnia of the Lakes,Дорога до маєтку,Озерна Ліурнія,1034492950:Road to the Manor (Liurnia of the Lakes),1034492950:Liurnia of the Lakes - Road to the Manor,,,,,,,
1034502950,Ranni's Rise,Liurnia of the Lakes,Вежа Ранні,Озерна Ліурнія,1034502950:Ranni's Rise (Liurnia of the Lakes),1034502950:Liurnia of the Lakes - Ranni's Rise,,,,,,,
1034502951,Ranni's Chamber,Liurnia of the Lakes,Кімната Ранні,Озерна Ліурнія,1034502951:Ranni's Chamber (Liurnia of the Lakes),1034502951:Liurnia of the Lakes - Ranni's Chamber,,,,,,,
1035422950,Cathedral of Manus Celes,Moonlight Altar,Собор Мануса Селеса,Вівтар місячного сяйва,1035422950:Cathedral of Manus Celes (Moonlight Altar),1035422950:Moonlight Altar - Cathedral of Manus Celes,,,,,,,
1035432950,Folly on the Lake,Liurnia of the Lakes,Альтанка на озері,Озерна Ліурнія,1035432950:Folly on the Lake (Liurnia of the Lakes),1035432950:Liurnia of the Lakes - Folly on the Lake,,,,,,,
1035452950,South Raya Lucaria Gate,Liurnia of the Lakes,Південні ворота Рая-Лукарії,Озерна Ліурнія,1035452950:South Raya Lucaria Gate (Liurnia of the Lakes),1035452950:Liurnia of the Lakes - South Raya Lucaria Gate,,,,,,,
1035462950,Main Academy Gate,Liurnia of the Lakes,Головні ворота академії,Озерна Ліурнія,1035462950:Main Academy Gate (Liurnia of the Lakes),1035462950:Liurnia of the Lakes - Main Academy Gate,,,,,,,
1035472950,East Gate Bridge Trestle,Liurnia of the Lakes,Естакада східних воріт,Озерна Ліурнія,1035472950:East Gate Bridge Trestle (Liurnia of the Lakes),1035472950:Liurnia of the Lakes - East Gate Bridge Trestle,,,,,,,
1035502950,Manor Upper Level,Liurnia of the Lakes,Верхній ярус маєтку,Озерна Ліурнія,1035502950:Manor Upper Level (Liurnia of the Lakes),1035502950:Liurnia of the Lakes - Manor Upper Level,,,,,,,
1035502951,Manor Lower Level,Liurnia of the Lakes,Нижній ярус маєтку,Озерна Ліурнія,1035502951:Manor Lower Level (Liurnia of the Lakes),1035502951:Liurnia of the Lakes - Manor Lower Level,,,,,,,
1035502952,Royal Moongazing Grounds,Liurnia of the Lakes,Королівські місячні землі,Озерна Ліурнія,1035502952:Royal Moongazing Grounds (Liurnia of the Lakes),1035502952:Liurnia of the Lakes - Royal Moongazing Grounds,,,,,,,
1035502953,Main Caria Manor Gate,Liurnia of the Lakes,Головні ворота карійського маєтку,Озерна Ліурнія,1035502953:Main Caria Manor Gate (Liurnia of the Lakes),1035502953:Liurnia of the Lakes - Main Caria Manor Gate,,,,,,,
1035532950,Seethewater Terminus,Mt. Gelmir,Край гарячої річки,Гора Ґельмір,1035532950:Seethewater Terminus (Mt. Gelmir),1035532950:Mt. Gelmir - Seethewater Terminus,,,,,,,
1036412950,Slumbering Wolf Shack,Liurnia of the Lakes,Хатина сонливого вовка,Озерна Ліурнія,1036412950:Slumbering Wolf Shack (Liurnia of the Lakes),1036412950:Liurnia of the Lakes - Slumbering Wolf Shack,,,,,,,
1036432950,Boilprawn Shack,Liurnia of the Lakes,Хатина варених креветок,Озерна Ліурнія,1036432950:Boilprawn Shack (Liurnia of the Lakes),1036432950:Liurnia of the Lakes - Boilprawn Shack,,,,,,,
1036432951,Fallen Ruins of the Lake,Liurnia of the Lakes,Руїни на озері,Озерна Ліурнія,1036432951:Fallen Ruins of the Lake (Liurnia of the Lakes),1036432951:Liurnia of the Lakes - Fallen Ruins of the Lake,,,,,,,
1036452950,Gate Town North,Liurnia of the Lakes,Північ передмістя,Озерна Ліурнія,1036452950:Gate Town North (Liurnia of the Lakes),1036452950:Liurnia of the Lakes - Gate Town North,,,,,,,
1036482950,East Raya Lucaria Gate,Bellium Highway,Східні ворота Рая-Лукарії,Тракт Беллум,1036482950:East Raya Lucaria Gate (Bellium Highway),1036482950:Bellium Highway - East Raya Lucaria Gate,,,,,,,
1036492950,Bellum Church,Bellium Highway,Церква Беллум,Тракт Беллум,1036492950:Bellum Church (Bellium Highway),1036492950:Bellium Highway - Bellum Church,,,,,,,
1036492951,The Ravine,Liurnia of the Lakes,Яр,Озерна Ліурнія,1036492951:The Ravine (Liurnia of the Lakes),1036492951:Liurnia of the Lakes - The Ravine,,,,,,,
1036502950,Behind Caria Manor,Liurnia of the Lakes,Позаду карійського маєтку,Озерна Ліурнія,1036502950:Behind Caria Manor (Liurnia of the Lakes),1036502950:Liurnia of the Lakes - Behind Caria Manor,,,,,,,
1036522950,Craftsman's Shack,Mt. Gelmir,Хатина ремісника,Гора Ґельмір,1036522950:Craftsman's Shack (Mt. Gelmir),1036522950:Mt. Gelmir - Craftsman's Shack,,,,,,,
1036542951,Ninth Mt. Gelmir Campsite,Mt. Gelmir,Дев'ятий табір гори Ґельмір,Гора Ґельмір,1036542951:Ninth Mt. Gelmir Campsite (Mt. Gelmir),1036542951:Mt. Gelmir - Ninth Mt. Gelmir Campsite,,,,,,,
1036542952,Road of Iniquity,Mt. Gelmir,Дорога беззаконня,Гора Ґельмір,1036542952:Road of Iniquity (Mt. Gelmir),1036542952:Mt. Gelmir - Road of Iniquity,,,,,,,
1037422950,Scenic Isle,Liurnia of the Lakes,Мальовничий острів,Озерна Ліурнія,1037422950:Scenic Isle (Liurnia of the Lakes),1037422950:Liurnia of the Lakes - Scenic Isle,,,,,,,
1037442950,Academy Gate Town,Liurnia of the Lakes,Передмістя академії,Озерна Ліурнія,1037442950:Academy Gate Town (Liurnia of the Lakes),1037442950:Liurnia of the Lakes - Academy Gate Town,,,,,,,
1037462950,Church of Vows,Liurnia of the Lakes,Церква обітниць,Озерна Ліурнія,1037462950:Church of Vows (Liurnia of the Lakes),1037462950:Liurnia of the Lakes - Church of Vows,,,,,,,
1037482950,Mausoleum Compound,Liurnia of the Lakes,Територія мавзолею,Озерна Ліурнія,1037482950:Mausoleum Compound (Liurnia of the Lakes),1037482950:Liurnia of the Lakes - Mausoleum Compound,,,,,,,
1037492950,Church of Inhibition,Bellium Highway,Церква спокою,Тракт Беллум,1037492950:Church of Inhibition (Bellium Highway),1037492950:Bellium Highway - Church of Inhibition,,,,,,,
1037512950,Abandoned Coffin,Altus Plateau,Покинута труна,Плато Альтус,1037512950:Abandoned Coffin (Altus Plateau),1037512950:Altus Plateau - Abandoned Coffin,,,,,,,
1037522951,Seethewater River,Mt. Gelmir,Гаряча річка,Гора Ґельмір,1037522951:Seethewater River (Mt. Gelmir),1037522951:Mt. Gelmir - Seethewater River,,,,,,,
1037532950,Primeval Sorcerer Azur,Mt. Gelmir,Первісний чародій Азур,Гора Ґельмір,1037532950:Primeval Sorcerer Azur (Mt. Gelmir),1037532950:Mt. Gelmir - Primeval Sorcerer Azur,,,,,,,
1038402950,Liurnia Lake Shore,Liurnia of the Lakes,Берег озера Ліурнії,Озерна Ліурнія,1038402950:Liurnia Lake Shore (Liurnia of the Lakes),1038402950:Liurnia of the Lakes - Liurnia Lake Shore,,,,,,,
1038412950,Laskyar Ruins,Liurnia of the Lakes,Руїни Ласк'яр,Озерна Ліурнія,1038412950:Laskyar Ruins (Liurnia of the Lakes),1038412950:Liurnia of the Lakes - Laskyar Ruins,,,,,,,
1038432950,Gate Town Bridge,Liurnia of the Lakes,Міст передмістя,Озерна Ліурнія,1038432950:Gate Town Bridge (Liurnia of the Lakes),1038432950:Liurnia of the Lakes - Gate Town Bridge,,,,,,,
1038452950,Artist's Shack,Liurnia of the Lakes,Хатина митця,Озерна Ліурнія,1038452950:Artist's Shack (Liurnia of the Lakes),1038452950:Liurnia of the Lakes - Artist's Shack,,,,,,,
1038452951,Eastern Liurnia Lake Shore,Liurnia of the Lakes,Східний берег озера Ліурнії,Озерна Ліурнія,1038452951:Eastern Liurnia Lake Shore (Liurnia of the Lakes),1038452951:Liurnia of the Lakes - Eastern Liurnia Lake Shore,,,,,,,
1038462950,Eastern Tableland,Liurnia of the Lakes,Східне плоскогір'я,Озерна Ліурнія,1038462950:Eastern Tableland (Liurnia of the Lakes),1038462950:Liurnia of the Lakes - Eastern Tableland,,,,,,,
1038472950,Ruined Labyrinth,Liurnia of the Lakes,Зруйнований лабіринт,Озерна Ліурнія,1038472950:Ruined Labyrinth (Liurnia of the Lakes),1038472950:Liurnia of the Lakes - Ruined Labyrinth,,,,,,,
1038482950,Frenzied Flame Village Outskirts,Bellium Highway,Околиці селища Полум'я несамовитості,Тракт Беллум,1038482950:Frenzied Flame Village Outskirts (Bellium Highway),1038482950:Bellium Highway - Frenzied Flame Village Outskirts,,,,,,,
1038502950,Grand Lift of Dectus,Bellium Highway,Великий підйомник Дектуса,Тракт Беллум,1038502950:Grand Lift of Dectus (Bellium Highway),1038502950:Bellium Highway - Grand Lift of Dectus,,,,,,,
1038502951,Ravine-Veiled Village,Liurnia of the Lakes,Селище в яру,Озерна Ліурнія,1038502951:Ravine-Veiled Village (Liurnia of the Lakes),1038502951:Liurnia of the Lakes - Ravine-Veiled Village,,,,,,,
1038502952,Altus Plateau,Altus Plateau,Плато Альтус,Плато Альтус,1038502952:Altus Plateau (Altus Plateau),1038502952:Altus Plateau - Altus Plateau,,,,,,,
1038512950,Erdtree-Gazing Hill,Altus Plateau,Пагорб з краєвидом на Золоте дерево,Плато Альтус,1038512950:Erdtree-Gazing Hill (Altus Plateau),1038512950:Altus Plateau - Erdtree-Gazing Hill,,,,,,,
1038542950,First Mt. Gelmir Campsite,Mt. Gelmir,Перший табір гори Ґельмір,Гора Ґельмір,1038542950:First Mt. Gelmir Campsite (Mt. Gelmir),1038542950:Mt. Gelmir - First Mt. Gelmir Campsite,,,,,,,
1039402950,Lake-Facing Cliffs,Liurnia of the Lakes,Скелі з краєвидом на озеро,Озерна Ліурнія,1039402950:Lake-Facing Cliffs (Liurnia of the Lakes),1039402950:Liurnia of the Lakes - Lake-Facing Cliffs,,,,,,,
1039412950,Liurnia Highway South,Liurnia of the Lakes,Південний тракт Ліурнії,Озерна Ліурнія,1039412950:Liurnia Highway South (Liurnia of the Lakes),1039412950:Liurnia of the Lakes - Liurnia Highway South,,,,,,,
1039422950,Liurnia Highway North,Liurnia of the Lakes,Північний тракт Ліурнії,Озерна Ліурнія,1039422950:Liurnia Highway North (Liurnia of the Lakes),1039422950:Liurnia of the Lakes - Liurnia Highway North,,,,,,,
1039442950,Jarburg,Liurnia of the Lakes,Горщибург,Озерна Ліурнія,1039442950:Jarburg (Liurnia of the Lakes),1039442950:Liurnia of the Lakes - Jarburg,,,,,,,
1039512950,Altus Highway Junction,Altus Plateau,Перехрестя на тракті Альтуса,Плато Альтус,1039512950:Altus Highway Junction (Altus Plateau),1039512950:Altus Plateau - Altus Highway Junction,,,,,,,
1039532950,Bridge of Iniquity,Mt. Gelmir,Міст беззаконня,Гора Ґельмір,1039532950:Bridge of Iniquity (Mt. Gelmir),1039532950:Mt. Gelmir - Bridge of Iniquity,,,,,,,
1039542950,Shaded Castle Ramparts,Altus Plateau,Мур Тіньового замку,Плато Альтус,1039542950:Shaded Castle Ramparts (Altus Plateau),1039542950:Altus Plateau - Shaded Castle Ramparts,,,,,,,
1039542951,Shaded Castle Inner Gate,Altus Plateau,Внутрішні ворота Тіньового замку,Плато Альтус,1039542951:Shaded Castle Inner Gate (Altus Plateau),1039542951:Altus Plateau - Shaded Castle Inner Gate,,,,,,,
1039542952,Castellan's Hall,Altus Plateau,Зала управителя,Плато Альтус,1039542952:Castellan's Hall (Altus Plateau),1039542952:Altus Plateau - Castellan's Hall,,,,,,,
1040522950,Forest-Spanning Greatbridge,Altus Plateau,Великий міст над лісом,Плато Альтус,1040522950:Forest-Spanning Greatbridge (Altus Plateau),1040522950:Altus Plateau - Forest-Spanning Greatbridge,,,,,,,
1040532950,Bower of Bounty,Altus Plateau,Ліс достатку,Плато Альтус,1040532950:Bower of Bounty (Altus Plateau),1040532950:Altus Plateau - Bower of Bounty,,,,,,,
1040542950,Road of Iniquity Side Path,Altus Plateau,Стежка на узбіччі дороги беззакння,Плато Альтус,1040542950:Road of Iniquity Side Path (Altus Plateau),1040542950:Altus Plateau - Road of Iniquity Side Path,,,,,,,
1041322950,Isolated Merchant's Shack,Weeping Peninsula,Хатина торговця-самітника,Півострів плачу,1041322950:Isolated Merchant's Shack (Weeping Peninsula),1041322950:Weeping Peninsula - Isolated Merchant's Shack,,,,,,,
1041332950,Fourth Church of Marika,Weeping Peninsula,Четверта церква Маріки,Півострів плачу,1041332950:Fourth Church of Marika (Weeping Peninsula),1041332950:Weeping Peninsula - Fourth Church of Marika,,,,,,,
1041352950,Church of Dragon Communion,Limgrave,Церква Причастя дракона,Замогилля,1041352950:Church of Dragon Communion (Limgrave),1041352950:Limgrave - Church of Dragon Communion,,,,,,,
1041382950,Stormhill Shack,Stormhill,Хатина на Штормовому пагорбі,Штормовий пагорб,1041382950:Stormhill Shack (Stormhill),1041382950:Stormhill - Stormhill Shack,,,,,,,
1041522951,Rampartside Path,Altus Plateau,Стежка біля муру,Плато Альтус,1041522951:Rampartside Path (Altus Plateau),1041522951:Altus Plateau - Rampartside Path,,,,,,,
1041542950,Windmill Village,Altus Plateau,Вітрякове селище,Плато Альтус,1041542950:Windmill Village (Altus Plateau),1041542950:Altus Plateau - Windmill Village,,,,,,,
1042332950,Tombsward,Weeping Peninsula,Гробниці,Півострів плачу,1042332950:Tombsward (Weeping Peninsula),1042332950:Weeping Peninsula - Tombsward,,,,,,,
1042362950,Church of Elleh,Limgrave,Церква Елле,Замогилля,1042362950:Church of Elleh (Limgrave),1042362950:Limgrave - Church of Elleh,,,,,,,
1042362951,The First Step,Limgrave,Перший крок,Замогилля,1042362951:The First Step (Limgrave),1042362951:Limgrave - The First Step,,,,,,,
1042372950,Gatefront,Limgrave,Перед воротами,Замогилля,1042372950:Gatefront (Limgrave),1042372950:Limgrave - Gatefront,,,,,,,
1042382950,Warmaster's Shack,Stormhill,Хатина майстерного воїна,Штормовий пагорб,1042382950:Warmaster's Shack (Stormhill),1042382950:Stormhill - Warmaster's Shack,,,,,,,
1042512950,Outer Wall Phantom Tree,"Leyndell, Royal Capital",Фантомне дерево біля зовнішніх стін,Околиці столиці,"1042512950:Outer Wall Phantom Tree (Leyndell, Royal Capital)","1042512950:Leyndell, Royal Capital - Outer Wall Phantom Tree",,,,,,,
1042552950,Windmill Heights,Altus Plateau,Вітрякові пагорби,Плато Альтус,1042552950:Windmill Heights (Altus Plateau),1042552950:Altus Plateau - Windmill Heights,,,,,,,
1043302950,Morne Moangrave,Weeping Peninsula,Морнська могила стогону,Півострів плачу,1043302950:Morne Moangrave (Weeping Peninsula),1043302950:Weeping Peninsula - Morne Moangrave,,,,,,,
1043312950,Castle Morne Lift,Weeping Peninsula,Підйомник замку Морна,Півострів плачу,1043312950:Castle Morne Lift (Weeping Peninsula),1043312950:Weeping Peninsula - Castle Morne Lift,,,,,,,
1043312951,Behind The Castle,Weeping Peninsula,Позаду замку,Півострів плачу,1043312951:Behind The Castle (Weeping Peninsula),1043312951:Weeping Peninsula - Behind The Castle,,,,,,,
1043312952,Beside the Rampart Gaol,Weeping Peninsula,Поряд з мурами темниці,Півострів плачу,1043312952:Beside the Rampart Gaol (Weeping Peninsula),1043312952:Weeping Peninsula - Beside the Rampart Gaol,,,,,,,
1043342950,Church of Pilgrimage,Weeping Peninsula,Церква паломництва,Півострів плачу,1043342950:Church of Pilgrimage (Weeping Peninsula),1043342950:Weeping Peninsula - Church of Pilgrimage,,,,,,,
1043352950,Seaside Ruins,Limgrave,Приморські руїни,Замогилля,1043352950:Seaside Ruins (Limgrave),1043352950:Limgrave - Seaside Ruins,,,,,,,
1043372950,Agheel Lake North,Limgrave,Озеро Еґіла (північ),Замогилля,1043372950:Agheel Lake North (Limgrave),1043372950:Limgrave - Agheel Lake North,,,,,,,
1043382950,Murkwater Coast,Limgrave,Узбережжя каламутних вод,Замогилля,1043382950:Murkwater Coast (Limgrave),1043382950:Limgrave - Murkwater Coast,,,,,,,
1043392950,Saintsbridge,Stormhill,Міст святих,Штормовий пагорб,1043392950:Saintsbridge (Stormhill),1043392950:Stormhill - Saintsbridge,,,,,,,
1043502950,Minor Eerdtree Church,"Leyndell, Royal Capital",Церква малого Золотого дерева,Околиці столиці,"1043502950:Minor Eerdtree Church (Leyndell, Royal Capital)","1043502950:Leyndell, Royal Capital - Minor Eerdtree Church",,,,,,,
1043532950,Hermit Merchant's Shack,"Leyndell, Royal Capital",Хатина торговця-відлюдника,Околиці столиці,"1043532950:Hermit Merchant's Shack (Leyndell, Royal Capital)","1043532950:Leyndell, Royal Capital - Hermit Merchant's Shack",,,,,,,
1043532951,Outer Wall Battleground,"Leyndell, Royal Capital",Поле бою біля зовнішніх стін,Околиці столиці,"1043532951:Outer Wall Battleground (Leyndell, Royal Capital)","1043532951:Leyndell, Royal Capital - Outer Wall Battleground",,,,,,,
1044332950,Castle Morne Rampart,Weeping Peninsula,Мур замку Морна,Півострів плачу,1044332950:Castle Morne Rampart (Weeping Peninsula),1044332950:Weeping Peninsula - Castle Morne Rampart,,,,,,,
1044332951,South of the Lookout Tower,Weeping Peninsula,На південь від вартової вежі,Півострів плачу,1044332951:South of the Lookout Tower (Weeping Peninsula),1044332951:Weeping Peninsula - South of the Lookout Tower,,,,,,,
1044332952,Ailing Village Outskirts,Limgrave,Околиці кволого селища,Замогилля,1044332952:Ailing Village Outskirts (Limgrave),1044332952:Limgrave - Ailing Village Outskirts,,,,,,,
1044342950,Bridge of Sacrifice,Limgrave,Жертовний міст,Замогилля,1044342950:Bridge of Sacrifice (Limgrave),1044342950:Limgrave - Bridge of Sacrifice,,,,,,,
1044352950,Agheel Lake South,Limgrave,Озеро Еґіла (південь),Замогилля,1044352950:Agheel Lake South (Limgrave),1044352950:Limgrave - Agheel Lake South,,,,,,,
1044362950,Waypoint Ruins Cellar,Limgrave,Підвал подорожніх руїн,Замогилля,1044362950:Waypoint Ruins Cellar (Limgrave),1044362950:Limgrave - Waypoint Ruins Cellar,,,,,,,
1044372950,Mistwood Outskirts,Limgrave,Околиці Туманного лісу,Замогилля,1044372950:Mistwood Outskirts (Limgrave),1044372950:Limgrave - Mistwood Outskirts,,,,,,,
1044382950,Artist's Shack,Limgrave,Хатина митця,Замогилля,1044382950:Artist's Shack (Limgrave),1044382950:Limgrave - Artist's Shack,,,,,,,
1044392950,Summonwater Village Outskirts,Limgrave,Околиці селища біля вод виклику,Замогилля,1044392950:Summonwater Village Outskirts (Limgrave),1044392950:Limgrave - Summonwater Village Outskirts,,,,,,,
1045332950,Beside the Crater-Pocked Glade,Weeping Peninsula,Біля галявини з кратерами,Півострів плачу,1045332950:Beside the Crater-Pocked Glade (Weeping Peninsula),1045332950:Weeping Peninsula - Beside the Crater-Pocked Glade,,,,,,,
1045362950,Fort Haight West,Limgrave,Захід форту Гайта,Замогилля,1045362950:Fort Haight West (Limgrave),1045362950:Limgrave - Fort Haight West,,,,,,,
1045522950,Capital Rampart,"Leyndell, Royal Capital",Столичний мур,Околиці столиці,"1045522950:Capital Rampart (Leyndell, Royal Capital)","1045522950:Leyndell, Royal Capital - Capital Rampart",,,,,,,
1046382950,Third Church of Marika,Limgrave,Третя церква Маріки,Замогилля,1046382950:Third Church of Marika (Limgrave),1046382950:Limgrave - Third Church of Marika,,,,,,,
1046402950,Smoldering Church,Caelid,Спалена церква,Кейлід,1046402950:Smoldering Church (Caelid),1046402950:Caelid - Smoldering Church,,,,,,,
1046402951,Rotview Balcony,Caelid,Гнильний краєвид,Кейлід,1046402951:Rotview Balcony (Caelid),1046402951:Caelid - Rotview Balcony,,,,,,,
1047392950,Fort Gael North,Caelid,Північна частина форту Ґаель,Кейлід,1047392950:Fort Gael North (Caelid),1047392950:Caelid - Fort Gael North,,,,,,,
1047402950,Caelem Ruins,Caelid,Руїни Калема,Кейлід,1047402950:Caelem Ruins (Caelid),1047402950:Caelid - Caelem Ruins,,,,,,,
1047512950,Forbidden Lands,Forbidden Lands,Заборонені землі,Заборонені землі,1047512950:Forbidden Lands (Forbidden Lands),1047512950:Forbidden Lands - Forbidden Lands,,,,,,,
1047582950,Apostate Derelict,Consecrated Snowfield,Руїни відступників,Священна снігова долина,1047582950:Apostate Derelict (Consecrated Snowfield),1047582950:Consecrated Snowfield - Apostate Derelict,,,,,,,
