ID,English,Japanese,Chinese,German,Spanish,Russian,Arabic,Korean
2006910,Dragonbolt of Florissax,フローサクスの竜雷,芙柔桑克斯的龙雷,Drachenblitz von Florissax,Rayo de dragón de Florissax,Драконья молния Флориссакс,ﺻﺎﻋﻘﺔ اﻟﺗﻧﻳﻥ ﻓﻠﻭرﻳﺳﺎﻛﺱ,플로삭스의 용뢰
2006920,Electrocharge,帯電,带电,Elektroladung,Carga eléctrica,Электроразряд,اﻟﺷﺣﻥ اﻟﻛﻬﺭﺑﺎﺋﻲ,하전
2007000,Bayle's Tyranny,ベールの暴虐,贝勒的残虐,Bayles Tyrannei,Tiranía de Bayle,Злоба Бейла,ﺟﺑﺭوت ﺑﺎﻳﻝ,베일의 포학
2007010,Bayle's Flame Lightning,ベールの炎雷,贝勒的焰雷,Bayles Flammenblitz,Rayo llameante de Bayle,Огненная молния Бейла,ﻟﻬﻳﺏ ﺑﺎﻳﻝ اﻟﺑﺭﻗﻲ,베일의 염뢰
2007020,Ghostflame Breath,霊炎ブレス,灵火吐息,Geisterflammen-Atem,Aliento de llama espectral,Дыхание пламени смерти,ﻧﺱ ﻟﻬﻳﺏ اﻟﺷﺑﺢ,영혼 불꽃 브레스
2007200,Rotten Butterflies,腐敗の蝶,腐败蝶,Verrottete Schmetterlinge,Mariposas podridas,Гнилые бабочки,ﻓﺭاﺷﺎت اﻟﻌﻔﻥ,부패의 나비
2007210,Pest-Thread Spears,蟲糸の槍,虫丝枪,Pestfaden-Speere,Lanzas de plagas entrelazadas,Липкие копья,رﻣﺣﺎ ﺧﻳﻭط اﻵﻓﺎت,곤충실 창
2007300,Midra's Flame of Frenzy,ミドラーの狂い火,米德拉的癫火,Midras Rasende Flamme,Llama del frenesí de Midra,Яростное Пламя Мидры,ﻟﻬﻳﺏ ﺟﻧﻭن ﻣﺩرا,미드라의 미친 불
2007410,Fleeting Microcosm,儚い小宇宙,虚幻小宇宙,Flüchtiger Mikrokosmos,Microcosmos efímero,Неуловимый микрокосм,اﻟﻌﺎﻟﻡ اﻟﺻﻐﻳﺭ اﻟﺧﺎﻁﻑ,덧없는 소우주
2007420,Cherishing Fingers,守り指,守护指头,Liebkosende Finger,Dedos amorosos,Заботливые пальцы,اﻷﺻﺎﺑﻊ اﻟﺣﺎﻣﻳﺔ,수호 손가락
2007600,Watchful Spirit,守護霊,守护灵,Wachsamer Geist,Espíritu vigilante,Бдительный дух,اﻟﺭوح اﻟﺣﺎرﺳﺔ,수호령
2007700,Golden Arcs,黄金の弧,黄金弯弧,Goldene Bögen,Arcos dorados,Золотые дуги,اﻷﻗﻭاس اﻟﺫﻫﺑﻳﺔ,황금의 호
2007710,Giant Golden Arc,黄金の大弧,黄金大弯弧,Riesiger goldener Bogen,Arco dorado gigante,Огромная золотая дуга,اﻟﻘﻭس اﻟﺫﻫﺑﻲ اﻟﻌﻣﻼق,황금의 큰 호
2007720,Spira,スピラ,旋流,Spira,Espiral,Спираль света,اﻟﺩواﻣﺔ,스피라
2007730,Divine Beast Tornado,神獣竜巻,神兽龙卷风,Göttlicher Bestien-Tornado,Tornado de la Bestia Divina,Смерч священного зверя,إﻋﺻﺎر اﻟﻭﺣﺵ اﻟﺳﻣﺎوي,신수 회오리바람
2007740,Divine Bird Feathers,神鳥の羽,神鸟羽毛,Göttliche Vogelfedern,Plumas del Ave Divina,Перья священной птицы,رﻳﺵ اﻟﻁﺎﺋﺭ اﻟﺳﻣﺎوي,신조의 깃털
2007800,Fire Serpent,火蛇,火焰蛇,Feuerschlange,Serpiente de fuego,Огненный змей,اﻷﻓﻌﻰ اﻟﻧﺎرﻳﺔ,불뱀
2007810,Rain of Fire,火の雨,火焰雨,Feuerregen,Lluvia de fuego,Огненный дождь,اﻷﻣﻁﺎر اﻟﻧﺎرﻳﺔ,불의 비
2007820,Messmer's Orb,メスメルの火球,梅瑟莫的火球,Messmers Kugel,Orbe de Messmer,Сфера Мессмера,ﻛﺭة ﻣﻳﺳﻣﺭ,메스메르의 불덩이
2008000,Miquella's Great Rune,ミケラの大ルーン,米凯拉的大卢恩,Miquellas Große Rune,Runa Mayor de Miquella,Великая руна Микеллы,رون ﻣﻳﻛﻼ اﻟﻌﻅﻳﻡ,미켈라의 거대한 룬
2008003,Igon's Furled Finger,エーゴンの鉤指,埃贡的勾指,Igons Krummfinger,Dedo doblado de Igon,Скрюченный палец Игона,إﺻﺑﻊ إﻳﻐﻭن اﻟﻣﻠﻔﻭﻓﺔ,에이곤의 갈고리 손가락
2008004,Well Depths Key,井戸底の鍵,井底钥匙,Schlüssel zum Brunnenboden,Llave de las profundidades del pozo,Ключ от глубин колодца,ﻣﻔﺗﺎح أﻋﻣﺎق اﻟﺑﺋﺭ,우물 바닥의 열쇠
2008005,Gaol Upper Level Key,牢獄上層の鍵,监牢上层钥匙,Schlüssel zur oberen Kerkerebene,Llave del nivel superior de la prisión,Ключ от верхнего яруса тюрьмы,ﻣﻔﺗﺎح ﻁﺎﺑﻖ اﻟﺳﺟﻥ اﻟﻌﻠﻭي,감옥 상층의 열쇠
2008006,Gaol Lower Level Key,牢獄下層の鍵,监牢下层钥匙,Schlüssel zur unteren Kerkerebene,Llave del nivel inferior de la prisión,Ключ от нижнего яруса тюрьмы,ﻣﻔﺗﺎح ﻁﺎﺑﻖ اﻟﺳﺟﻥ اﻟﺳﻔﻠﻲ,감옥 하층의 열쇠
2008007,Cross Map,十字の地図,十字记号地图,Mit Kreuz markierte Karte,Mapa de la cruz,Карта с крестом,ﺧﺭﻳﻁﺔ اﻟﺻﻠﻳﺏ,십자의 지도
2008008,Hole-Laden Necklace,穴石のネックレス,孔洞项链,Gemeißelte Halskette,Collar con hueco agobiado,Ожерелье с отверстиями,اﻟﻌﻘﺩ اﻟﻣﻧﺣﻭت,구멍난 돌 목걸이
2008011,Heart of Bayle,ベールの心臓,贝勒的心脏,Herz von Bayle,Corazón de Bayle,Сердце Бейла,ﻗﻠﺏ ﺑﺎﻳﻝ,베일의 심장
2008012,mit Kreuz markierte Karte,,,Neue,Карта с новым крестом,Novo Mapa das Cruzes,ﺧﺭﻳﻁﺔ اﻟﺻﻠﻳﺏ اﻟﺟﺩﻳﺩة,新しい十字の地図
2008013,Storeroom Key,倉庫の鍵,仓库钥匙,Lagerraumschlüssel,Llave del almacén,Ключ от кладовой,ﻣﻔﺗﺎح اﻟﻣﺧﺯن,창고 열쇠
2008014,Secret Rite Scroll,秘儀の巻物,秘密仪式卷轴,Geheimritus-Schriftrolle,Pergamino del rito secreto,Свиток с тайным обрядом,ﻟﻔﺎﻓﺔ اﻟﻁﻘﺱ اﻟﺳﺭي,비밀 의식의 두루마리
2008015,Letter for Freyja,フレイヤへの手紙,给弗蕾亚的信,Brief für Freyja,Carta para Freyja,Письмо для Фрейи,ﺧﻁﺎب إﻟﻰ ﻓﺭﻳﺎ,프레이야에게 쓴 편지
2008016,Ruins Map,遺跡の地図,遗迹地图,Ruinenkarte,Mapa de las ruinas,Карта руин,ﺧﺭﻳﻁﺔ اﻷﻧﻘﺎض,유적의 지도
2008017,Ruins Map (2nd),遺跡の地図（二枚目）,遗迹地图（第二张）,Ruinenkarte (II),Mapa de las ruinas (2.º),Карта руин (2-я),ﺧﺭﻳﻁﺔ اﻷﻧﻘﺎض (اﻟﺛﺎﻧﻳﺔ),유적의 지도(두번째 장)
2008018,Ruins Map (3rd),遺跡の地図（三枚目）,遗迹地图（第三张）,Ruinenkarte (III),Mapa de las ruinas (3.º),Карта руин (3-я),ﺧﺭﻳﻁﺔ اﻷﻧﻘﺎض (اﻟﺛﺎﻟﺛﺔ),유적의 지도(세번째 장)
2008019,Black Syrup,黒いシロップ,黑色浓浆,Schwarzer Sirup,Jarabe negro,Чёрная патока,ﺷﺭاب أﺳﻭاد,검은 시럽
2008021,Messmer's Kindling,メスメルの種火,梅瑟莫的火种,Messmers Zunder,Yesca de Messmer,Лучина Мессмера,إﺷﻌﺎل ﻣﻳﺳﻣﺭ,메스메르의 불씨
2008023,Keep Wall Key,城壁扉の鍵,城墙门钥匙,Schlüssel zur Schlossmauer,,Ключ от стены замка,ﻗﻠﻌﺔ ﻣﻭرن,성벽 문 열쇠
2008025,Furnace Keeper's Note,焼炉職人のメモ書き,燃炉工匠的笔记,Notiz des Ofenbesitzers,Nota del custodio del horno,Записка хранителя печи,ﻣﻠﺣﻭﻅﺔ ﺣﺎرس اﻟﻣﺻﻬﺭ,소각로 장인의 메모
2008027,Castle Cross Message,城砦十字の置き手紙,恩希斯城十字记号旁的信,Nachricht von Leda,Mensaje de Leda,Послание от Леды,رﺳﺎﻟﺔ ﻣﻥ ﻟﻳﺩا,성채 십자에 남긴 편지
2008028,Ancient Ruins Cross Message,古遺跡十字の置き手紙,古遗迹十字记号旁的信,Nachricht von Dane,Mensaje de Dane,Послание от Дейна,رﺳﺎﻟﺔ ﻣﻥ داﻳﻥ,옛 유적 십자에 남긴 편지
2008029,Monk's Missive,僧の手紙,修士的信,Sendschreiben des Mönchs,Misiva del monje,Послание от монаха,رﺳﺎﻟﺔ اﻟﺭاﻫﺏ,승려의 편지
2008030,Storehouse Cross Message,保管庫十字の置き手紙,保藏库十字记号旁的信,Nachricht vom Kreuz des Lagerhauses,Mensaje de la cruz del almacén,Послание с хранилища креста,رﺳﺎﻟﺔ اﻟﺻﻠﻳﺏ ﻓﻲ اﻟﻣﺧﺯن,보관고 십자에 남긴 편지
2008031,Note: Sealed Spiritsprings,文書「霊気流の封印について」,文件：关于受封印的灵魂气流,Notiz: Versiegelte Geisterquellen,Nota: Manantiales espirituales sellados,Заметка «Закрыт. источники»,ﻣﻠﺣﻭﻅﺔ: ﻳﻧﺎﺑﻳﻊ اﻷرواح اﻟﻣﺧﺗﻭﻣﺔ,문서 「영기류 봉인」
2008032,Torn Diary Page,捨てられた日記,被丢弃的日记,Ausgerissene Tagebuchseite,Página rota del diario,Страница из дневника,ﺻﻔﺣﺔ ﻣﺫﻛﺭات ﻣﻣﺯﻗﺔ,버려진 일기
2008033,Larval Tear,雫の幼生,泪滴幼体,Larventräne,Lágrima larval,Слеза личинки,دﻣﻌﺔ اﻟﻳﺭﻗﺔ,물방울 유생
2008034,Message from Leda,レダの置き手紙,蕾妲留下的信,Nachricht von Leda,Mensaje de Leda,Послание от Леды,رﺳﺎﻟﺔ ﻣﻥ ﻟﻳﺩا,레다가 남긴 편지
2008036,Prayer Room Key,祈りの間の鍵,祈祷厅钥匙,Schlüssel zum Gebetsraum,Llave del cuarto de rezo,Ключ от комнаты для молитвы,ﻣﻔﺗﺎح ﻏﺭﻓﺔ اﻟﺻﻼة,기도실 열쇠
2008037,Tower of Shadow Message,影の塔の置き手紙,幽影塔旁的信,Nachricht vom Schattenturm,Mensaje de la torre de la sombra,Послание с башни тени,رﺳﺎﻟﺔ ﺑﺭج اﻟﻅﻝ,그림자의 탑에 남긴 편지
2008131,Note: Sealed Spiritsprings,文書「霊気流の封印について」,文件：关于受封印的灵魂气流,Notiz: Versiegelte Geisterquellen,Nota: Manantiales espirituales sellados,Заметка «Закрыт. источники»,ﻣﻠﺣﻭﻅﺔ: ﻳﻧﺎﺑﻳﻊ اﻷرواح اﻟﻣﺧﺗﻭﻣﺔ,문서 「영기류 봉인」
2008200,Incursion Painting,絵画「侵攻」,绘画《侵略》,"Gemälde ""Einfall""","Pintura: ""Incursión""",Картина «Вторжение»,"ﻟﻭﺣﺔ ""اﻻﺟﺗﻳﺎح""",그림 「침공」
2008201,The Sacred Tower Painting,絵画「神の塔」,绘画《神之塔》,"Gemälde ""Der heilige Turm""","Pintura: ""La torre sagrada""",Картина «Священная башня»,"ﻟﻭﺣﺔ ""اﻟﺑﺭج اﻟﻣﻘﺩس""",그림 「신의 탑」
2008202,Domain of Dragons Painting,絵画「竜の境地」,绘画《龙之境界》,"Gemälde ""Gebiet der Drachen""","Pintura: ""El territorio de los dragones""",Картина «Вотчина драконов»,"ﻟﻭﺣﺔ ""ﺳﺎﺣﺔ اﻟﺗﻧﺎﻧﻳﻥ""",그림 「용의 경지」
2008600,Map: Gravesite Plain,地図断片：墓地平原,地图碎片：墓地平原,Karte: Grabfeld-Ebene,Mapa: Llanura de las Tumbas,Карта: равнина Надгробий,ﺧﺭﻳﻁﺔ: ﺳﻬﻝ اﻟﻣﻘﺑﺭة,지도 조각(묘지 평원)
2008601,Map: Scadu Altus,地図断片：影のアルター,地图碎片：幽影亚坛,Karte: Scadu Altus,Mapa: Noctaltus,Карта: Теневой Альтус,ﺧﺭﻳﻁﺔ: ﻣﺭﺗﻔﻌﺎت ﺳﻛﺎدو,지도 조각(그림자 알터)
2008602,Map: Southern Shore,地図断片：南海岸,地图碎片：南方海岸,Karte: Südufer,Mapa: Orilla sur,Карта: южное побережье,ﺧﺭﻳﻁﺔ: اﻟﺷﺎﻁﺊ اﻟﺟﻧﻭﺑﻲ,지도 조각(남쪽 해안)
2008603,Map: Rauh Ruins,地図断片：ラウフの古遺跡,地图碎片：劳弗古遗迹,Karte: Ruinen von Rauh,Mapa: Ruinas de Rauh,Карта: Руины Рауха,ﺧﺭﻳﻁﺔ: أﻧﻘﺎض راوه,지도 조각(라우프의 옛 유적)
2008604,Map: Abyss,地図断片：奈落,地图碎片：谷底,Karte: Abgrund,Mapa: Abismo,Карта: бездна,ﺧﺭﻳﻁﺔ: اﻟﻬﺎوﻳﺔ,지도 조각(나락)
2008900,Moore's Bell Bearing,ムーアの鈴玉,穆尔的铃珠,Moores Klangperle,Rodamiento de campana de Moore,Колокольная сфера Мура,ﻛﺭة ﺟﺭس ﻣﻭر,무아의 방울
2008901,Ymir's Bell Bearing,ユミルの鈴玉,尤弥尔的铃珠,Ymirs Klangperle,Rodamiento de campana de Ymir,Колокольная сфера Имира,ﻛﺭة ﺟﺭس ﻳﻣﻳﺭ,유미르의 방울
2008902,Herbalist's Bell Bearing,草売りの鈴玉,药草贩子的铃珠,Klangperle des Kräuterkundigen,Rodamiento de campana del herbolario,Колокольная сфера травника,ﻛﺭة ﺟﺭس اﻟﻣﻌﺎﻟﺞ ﺑﺎﻷﻋﺷﺎب,풀 장사꾼의 방울
2008903,Mushroom-Seller's Bell Bearing [1],キノコ売りの鈴玉【１】,蘑菇贩子的铃珠【１】,Klangperle [1] des Pilzhändlers,Rodamiento de campana del vendedor de hongos [1],Колокольная сфера торговца грибами [1],ﻛﺭة ﺟﺭس ﺑﺎﺋﻊ اﻟﻔﻁﺭ [1],버섯 장사꾼의 방울 [1]
2008904,Mushroom-Seller's Bell Bearing [2],キノコ売りの鈴玉【２】,蘑菇贩子的铃珠【２】,Klangperle [2] des Pilzhändlers,Rodamiento de campana del vendedor de hongos [2],Колокольная сфера торговца грибами [2],ﻛﺭة ﺟﺭس ﺑﺎﺋﻊ اﻟﻔﻁﺭ [2],버섯 장사꾼의 방울 [2]
2008905,Greasemonger's Bell Bearing,脂売りの鈴玉,树脂贩子的铃珠,Klangperle des Fetthändlers,Rodamiento de campana del vendedor de grasa,Колокольная сфера торговца смазками,ﻛﺭة ﺟﺭس ﺑﺎﺋﻊ اﻟﺷﺣﻭم,기름 장사꾼의 방울
2008906,Moldmonger's Bell Bearing,カビ売りの鈴玉,霉菌贩子的铃珠,Klangperle des Schimmelhändlers,Rodamiento de campana de Mercader de moho,Кол. сфера торговца плесенью роговестов,ﻛﺭة ﺟﺭس ﻟﺗﺎﺟﺭ اﻟﻌﻔﻥ,곰팡이 장사꾼의 방울
2008907,Igon's Bell Bearing,エーゴンの鈴玉,埃贡的铃珠,Igons Klangperle,Rodamiento de campana de Igon,Колокольная сфера Игона,ﻛﺭة ﺟﺭس ﻹﻳﻐﻭن,에이곤의 방울
2008908,Spellmachinist's Bell Bearing,魔術技師の鈴玉,魔法技师的铃珠,Klangperle des Zauberkünstlers,Rodamiento de campana de Mecahechicero,Колокольная сфера заклинателя,ﻛﺭة ﺟﺭس ﻟﺳﺎﺣﺭ اﻟﺑﺭج,마술기사의 방울
2008909,String-Seller's Bell Bearing,紐売りの鈴玉,绳索贩子的铃珠,Klangperle des Kordelhändlers,Rodamiento de campana de mercader de cordel,Колокольная сфера торговца струнами роговестов,ﻛﺭة ﺟﺭس ﺑﺎﺋﻊ اﻟﺧﻳﻭط,끈 장사꾼의 방울
2009000,Ring of Miquella,ミケラのリング,米凯拉法环,Ring von Miquella,Anillo de Miquella,Кольцо Микеллы,ﻁﻭق ﻣﻳﻛﻼ,미켈라의 고리
2009001,May the Best Win,手合わせ所望,期待切磋,Möge der Beste gewinnen,Que gane el mejor,Пусть победит лучший,ﻋﺳﻰ أن ﻳﻔﻭز اﻷﻓﺿﻝ,겨루기 소망
2009002,The Two Fingers,二本指,双指,Zwei Finger,Los Dos Dedos,Два Пальца,اﻹﺻﺑﻌﺎن,두 손가락
2009003,Let Us Go Together,貴方と共に,伴你同行,Gehen wir gemeinsam,Vámonos juntos,Пойдём вместе,ﻟﻧﻣﺽ ﻣﻌًﺎ,당신과 함께
2009004,O Mother,母よ,母亲啊,Oh Mutter,О матерь,Mãe,ﻳﺎ أﻣﻲ,어머니여
2009160,About the Scadutree Blessing,説明「影樹の加護」,说明：幽影树庇佑,Über den Segen des Scadubaums,Acerca de la bendición del Noctárbol,О благословении Древа Упадка,ﻋﻥ ﻣﺑﺎرﻛﺔ ﺷﺟﺭة ﺳﻛﺎدو,설명 「그림자 나무의 가호」
2009161,About the Revered Spirit Ash Blessing,説明「霊灰の加護」,说明：灵灰庇佑,Über Segen der Verehrten Geisterasche,Acerca de la bendición de cenizas de espíritus venerados,О благословении праха славного духа,ﻋﻥ ﻣﺑﺎرﻛﺔ رﻣﺎد اﻷرواح اﻟﺟﻠﻳﻝ,설명 「영혼 재의 가호」
2009162,About New Inventory Features,説明「インベントリの新機能」,说明：置物包的新功能,Über die neuen Inventarfunktionen,Acerca de las nuevas características del inventario,О новых возможностях инвентаря,ﻋﻥ ﻣﺯاﻳﺎ اﻟﻣﺧﺯون اﻟﺟﺩﻳﺩة,설명 「인벤토리의 새 기능」
2009301,Forager Brood Cookbook [6],拾い虫の製法書【６】,集物虫的制作笔记【６】,Handbuch [6] der Sammlerbrut,Libro de preparaciones de la cría recolectora [6],Справочник собирателей [6],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [6],수집벌레의 제작서 [6]
2009302,Forager Brood Cookbook [1],拾い虫の製法書【１】,集物虫的制作笔记【１】,Handbuch [1] der Sammlerbrut,Libro de preparaciones de la cría recolectora [1],Справочник собирателей [1],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [1],수집벌레의 제작서 [1]
2009303,Forager Brood Cookbook [2],拾い虫の製法書【２】,集物虫的制作笔记【２】,Handbuch [2] der Sammlerbrut,Libro de preparaciones de la cría recolectora [2],Справочник собирателей [2],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [2],수집벌레의 제작서 [2]
2009304,Forager Brood Cookbook [3],拾い虫の製法書【３】,集物虫的制作笔记【３】,Handbuch [3] der Sammlerbrut,Libro de preparaciones de la cría recolectora [3],Справочник собирателей [3],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [3],수집벌레의 제작서 [3]
2009305,Forager Brood Cookbook [4],拾い虫の製法書【４】,集物虫的制作笔记【４】,Handbuch [4] der Sammlerbrut,Libro de preparaciones de la cría recolectora [4],Справочник собирателей [4],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [4],수집벌레의 제작서 [4]
2009306,Forager Brood Cookbook [5],拾い虫の製法書【５】,集物虫的制作笔记【５】,Handbuch [5] der Sammlerbrut,Libro de preparaciones de la cría recolectora [5],Справочник собирателей [5],وﺻﻔﺔ ﻋﺎﺋﻠﺔ اﻟﻌف [5],수집벌레의 제작서 [5]
2009307,Igon's Cookbook [2],エーゴンの製法書【２】,埃贡的制作笔记【２】,Igons Handbuch [2],Libro de preparaciones de Igon [2],Справочник Игона [2],وﺻﻔﺔ إﻳﻐﻭن [2],에이곤의 제작서 [2]
2009308,Finger-Weaver's Cookbook [2],指追いの製法書【２】,指头追寻者的制作笔记【２】,Handbuch [2] des Fingerwebers,Libro de preparaciones del Tejededos [2],Справочник ткача пальцев [2],وﺻﻔﺔ ﺣﺎﺋﻙ اﻷﺻﺎﺑﻊ [2],손가락 추종자의 제작서 [2]
2009309,Greater Potentate's Cookbook [1],大壺師の製法書【１】,大维壶师的制作笔记【１】,Handbuch [1] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [1],Справочник величайшего гончара [1],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [1],큰 항아리 도공의 제작서 [1]
2009310,Greater Potentate's Cookbook [4],大壺師の製法書【４】,大维壶师的制作笔记【４】,Handbuch [4] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [4],Справочник величайшего гончара [4],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [4],큰 항아리 도공의 제작서 [4]
2009311,Greater Potentate's Cookbook [5],大壺師の製法書【５】,大维壶师的制作笔记【５】,Handbuch [5] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [5],Справочник величайшего гончара [5],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [5],큰 항아리 도공의 제작서 [5]
2009312,Greater Potentate's Cookbook [12],大壺師の製法書【１２】,大维壶师的制作笔记【１２】,Handbuch [12] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [12],Справочник величайшего гончара [12],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [12],큰 항아리 도공의 제작서 [12]
2009313,Greater Potentate's Cookbook [7],大壺師の製法書【７】,大维壶师的制作笔记【７】,Handbuch [7] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [7],Справочник величайшего гончара [7],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [7],큰 항아리 도공의 제작서 [7]
2009314,Greater Potentate's Cookbook [9],大壺師の製法書【９】,大维壶师的制作笔记【９】,Handbuch [9] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [9],Справочник величайшего гончара [9],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [9],큰 항아리 도공의 제작서 [9]
2009315,Greater Potentate's Cookbook [10],大壺師の製法書【１０】,大维壶师的制作笔记【１０】,Handbuch [10] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [10],Справочник величайшего гончара [10],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [10],큰 항아리 도공의 제작서 [10]
2009316,Greater Potentate's Cookbook [11],大壺師の製法書【１１】,大维壶师的制作笔记【１１】,Handbuch [11] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [11],Справочник величайшего гончара [11],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [11],큰 항아리 도공의 제작서 [11]
2009317,Mad Craftsman's Cookbook [2],狂った職人の製法書【２】,发狂工匠的制作笔记【２】,Handbuch [2] d. verrückten Handwerkers,Libro de preparaciones del artesano demente [2],Справочник безумного мастера [2],وﺻﻔﺔ ﺣﺭﻓﻲ اﻟﺣﺟﺭ اﻟﻼﻣﻊ [2],미친 장인의 제작서 [2]
2009318,Greater Potentate's Cookbook [8],大壺師の製法書【８】,大维壶师的制作笔记【８】,Handbuch [8] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [8],Справочник величайшего гончара [8],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [8],큰 항아리 도공의 제작서 [8]
2009319,Greater Potentate's Cookbook [3],大壺師の製法書【３】,大维壶师的制作笔记【３】,Handbuch [3] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [3],Справочник величайшего гончара [3],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [3],큰 항아리 도공의 제작서 [3]
2009320,Greater Potentate's Cookbook [13],大壺師の製法書【１３】,大维壶师的制作笔记【１３】,Handbuch [13] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [13],Справочник величайшего гончара [13],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [13],큰 항아리 도공의 제작서 [13]
2009321,Greater Potentate's Cookbook [14],大壺師の製法書【１４】,大维壶师的制作笔记【１４】,Handbuch [14] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [14],Справочник величайшего гончара [14],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [14],큰 항아리 도공의 제작서 [14]
2009322,Greater Potentate's Cookbook [6],大壺師の製法書【６】,大维壶师的制作笔记【６】,Handbuch [6] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [6],Справочник величайшего гончара [6],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [6],큰 항아리 도공의 제작서 [6]
2009323,Greater Potentate's Cookbook [2],大壺師の製法書【２】,大维壶师的制作笔记【２】,Handbuch [2] des Großen Herrschers,Libro de preparaciones del Potentado Mayor [2],Справочник величайшего гончара [2],وﺻﻔﺔ اﻟﺯﻋﻳﻡ اﻷﻋﻅﻡ [2],큰 항아리 도공의 제작서 [2]
2009324,Ancient Dragon Knight's Cookbook [1],古竜騎士の製法書【１】,古龙骑士的制作笔记【１】,Handbuch [1] d. Uralten Drachenritters,Libro de preparaciones del caballero dragón antiguo [1],Справочник рыцаря древн. драконов [1],وﺻﻔﺔ ﻓﺎرس اﻟﺗﻧﻳﻥ اﻟﻌﺭﻳﻖ [1],고룡 기사의 제작서 [1]
2009325,Mad Craftsman's Cookbook [1],狂った職人の製法書【１】,发狂工匠的制作笔记【１】,Handbuch [1] d. verrückten Handwerkers,Libro de preparaciones del artesano demente [1],Справочник безумного мастера [1],وﺻﻔﺔ اﻟﺣﺭﻓﻲ اﻟﻣﺟﻧﻭن [1],미친 장인의 제작서 [1]
2009326,St. Trina Disciple's Cookbook [1],トリーナ信徒の製法書【１】,托莉娜信徒的制作笔记【１】,Handbuch [1] d. Schülers von St. Trina,Libro de preparaciones del discípulo de Santa Trina [1],Справочник ученика св. Трины [1],وﺻﻔﺔ ﺗﻠﻣﻳﺫ اﻟﻘﺩﻳﺳﺔ ﺗﺭﻳﻧﺎ [1],트리나 신도의 제작서 [1]
2009327,Fire Knight's Cookbook [1],火の騎士の製法書【１】,火焰骑士的制作笔记【１】,Handbuch [1] des Feuerritters,Libro de preparaciones de los Caballeros ígneos [1],Справочник Огненного рыцаря [1],وﺻﻔﺔ ﻓﺎرس اﻟﻧﺎر [1],불 기사의 제작서 [1]
2009328,Ancient Dragon Knight's Cookbook [2],古竜騎士の製法書【２】,古龙骑士的制作笔记【２】,Handbuch [2] d. Uralten Drachenritters,Libro de preparaciones del caballero dragón antiguo [2],Справочник рыцаря древн. драконов [2],وﺻﻔﺔ ﻓﺎرس اﻟﺗﻧﻳﻥ اﻟﻌﺭﻳﻖ [2],고룡 기사의 제작서 [2]
2009329,Loyal Knight's Cookbook,従騎士の製法書,骑士实习生的制作笔记,Handbuch des getreuen Ritters,Libro de preparaciones de los caballeros leales,Справочник верного рыцаря,وﺻﻔﺔ اﻟﻔﺎرس اﻟﻣﺧﻠﺹ,종기사의 제작서
2009330,Battlefield Priest's Cookbook [1],従軍司祭の製法書【１】,战场神父的制作笔记【１】,Handbuch [1] des Militärpriesters,Libro de preparaciones de los sacerdotes [1],Справочник священника-воина [1],وﺻﻔﺔ ﻛﺎﻫﻥ ﻣﻳﺩان اﻟﻣﻌﺭﻛﺔ [1],종군사제의 제작서 [1]
